student_a,student_b
1320042,1320005
1320049,1320003
1320044,1320047
1320086,1320044
1320013,1320062
1320022,1320033
1320049,1320009
1320048,1320000
1320056,1320028
1320003,1320036
1320075,1320002
1320041,1320087
1320012,1320058
1320079,1320099
1320059,1320013
1320030,1320090
1320078,1320026
1320043,1320077
1320028,1320076
1320024,1320011
1320035,1320094
1320093,1320009
1320081,1320058
1320022,1320019
1320036,1320008
1320083,1320029
1320043,1320095
1320028,1320011
1320073,1320037
1320051,1320079
1320088,1320097
1320081,1320043
1320021,1320033
1320059,1320050
1320070,1320076
1320078,1320041
1320042,1320044
1320046,1320037
1320055,1320074
1320074,1320019
1320030,1320007
1320061,1320040
1320034,1320065
1320043,1320086
1320072,1320017
1320001,1320021
1320081,1320033
1320053,1320086
1320071,1320090
1320071,1320012
1320062,1320014
1320031,1320008
1320008,1320036
1320030,1320012
1320005,1320053
1320099,1320082
1320068,1320089
1320078,1320038
1320057,1320029
1320038,1320021
1320063,1320077
1320060,1320054
1320092,1320082
1320004,1320099
1320035,1320059
1320090,1320063
1320020,1320005
1320096,1320067
1320002,1320031
1320081,1320056
1320023,1320064
1320064,1320043
1320052,1320042
1320051,1320099
1320085,1320085
1320098,1320061
1320074,1320055
1320002,1320057
1320002,1320039
1320040,1320059
1320064,1320058
1320034,1320048
1320056,1320046
1320019,1320024
1320051,1320091
1320040,1320080
1320098,1320051
1320062,1320073
1320031,1320011
1320030,1320023
1320023,1320002
1320001,1320062
1320070,1320053
1320053,1320013
1320035,1320074
1320012,1320056
1320077,1320057
1320044,1320030
1320006,1320059
1320084,1320023
