student_a,student_b
1320092,1320019
1320070,1320014
1320072,1320023
1320055,1320071
1320080,1320018
1320088,1320009
1320000,1320021
1320090,1320098
1320020,1320078
1320061,1320069
1320092,1320004
1320092,1320000
1320025,1320069
1320040,1320026
1320043,1320079
1320030,1320080
1320080,1320054
1320023,1320028
1320057,1320022
1320079,1320094
1320015,1320082
1320039,1320061
1320048,1320064
1320066,1320029
1320047,1320013
1320067,1320063
1320050,1320065
1320092,1320053
1320017,1320046
1320000,1320022
1320054,1320071
1320008,1320000
1320099,1320009
1320089,1320065
1320069,1320059
1320006,1320017
1320006,1320016
1320097,1320071
1320097,1320034
1320063,1320031
1320088,1320042
1320045,1320098
1320038,1320092
1320091,1320036
1320071,1320099
1320033,1320075
1320032,1320083
1320059,1320080
1320045,1320087
1320022,1320011
1320000,1320088
1320000,1320081
1320051,1320040
1320006,1320061
1320088,1320084
1320036,1320003
1320097,1320063
1320000,1320091
1320092,1320023
1320093,1320014
1320046,1320098
1320050,1320054
1320053,1320093
1320020,1320060
1320026,1320075
1320008,1320079
1320072,1320081
1320063,1320083
1320064,1320099
1320003,1320049
1320054,1320056
1320019,1320079
1320003,1320010
1320012,1320001
1320083,1320099
1320071,1320016
1320094,1320051
1320050,1320084
1320053,1320055
1320012,1320075
1320019,1320063
1320036,1320087
1320070,1320004
1320065,1320056
1320002,1320057
1320039,1320028
1320051,1320033
1320043,1320037
1320020,1320071
1320004,1320041
1320010,1320097
1320055,1320075
1320096,1320028
1320089,1320024
1320092,1320003
1320065,1320043
1320028,1320038
1320070,1320042
1320001,1320037
1320095,1320014
